Month,Rainfall_mm,Measure_period,Monthly_rainfall,Indoor_required,Outdoor_required
1,1.4038709677419356,1.038709677419355,43.52,2325,3004
2,0.8148936170212767,1.044917257683215,22.81702127659575,2100,3004
3,0.841935483870968,1.043010752688172,26.100000000000005,2325,3004
4,1.619777777777778,1.04,48.59333333333334,2250,3004
5,1.694623655913978,1.0731182795698924,52.53333333333332,2325,3004
6,1.4137777777777771,1.0355555555555556,42.41333333333331,2250,3004
7,1.5124731182795699,1.081720430107527,46.88666666666666,2325,3004
8,1.7197849462365589,1.058064516129032,53.313333333333325,2325,3004
9,1.4897777777777774,1.0533333333333335,44.69333333333332,2250,3004
10,1.0868817204301076,1.027956989247312,33.693333333333335,2325,3004
11,1.903777777777778,1.0555555555555556,57.113333333333344,2250,3004
12,2.07741935483871,1.049462365591398,64.4,2325,3004
